Mã vận đơn,Sản phẩm,Thời gian đặt hàng,Sđt,ĐVVC,Lưu ý,Quá hạn giao,Phí vận chuyển,Phí giao dịch,Doanh Thu,Trừ vốn,hồng,kích rễ,Link
SPXVN035825926222,10 hồng + 1 kích rễ,13:30 23/02/2023,,SPX,,,0,6615,58385,25385,10,1,https://banhang.shopee.vn/portal/sale/order/130833006247662
SPXVN033043645362,10 hồng + 1 kích rễ,14:49 23/02/2023,,SPX,,,0,6420,55280,22280,10,1,https://banhang.shopee.vn/portal/sale/order/130837744262377
SPXVN039729154882,20 hồng + 2 kích rễ,15:44 23/02/2023,,SPX,"Shop chọn giúp mình cây khoẻ đều nhé ạ, mình mua 2 combo 20 cây shop tặng thêm gốc và kích rễ cho mình nhé",,0,12570,117430,51430,20,2,https://banhang.shopee.vn/portal/sale/order/130841075288174
SPXVN032768235772,10 hồng + 1 kích rễ,19:29 23/02/2023,,SPX,,,0,6420,58580,25580,10,1,https://banhang.shopee.vn/portal/sale/order/130854580201982
SPXVN039572241972,10 hồng + 1 kích rễ,21:11 23/02/2023,,SPX,,,0,6900,58100,25100,10,1,https://banhang.shopee.vn/portal/sale/order/130860708250951
SPXVN032341267712,10 hồng + 1 kích rễ,22:36 23/02/2023,,SPX,,,0,6390,55310,22310,10,1,https://banhang.shopee.vn/portal/sale/order/130865803239987
SPXVN033752177822,5 hồng,07:21 24/02/2023,,SPX,,,0,3405,29095,14095,5,,https://banhang.shopee.vn/portal/sale/order/130897309219668
,,,,,,,,,,,,,
,,,,,,,,Tổng doanh thu,432180,,75,7,
,,,,,,,,,,,3000,3000,
,,,,,,,,Tổng giá nhập,246000,,225000,21000,
,,,,,,,,Tổng lợi nhuận,186180,,,,
